plot_name,longitude,latitude
Codia_PGF19,165.764176,-21.622468
COR070,166.948834,-22.278186
COR016,166.896633,-22.281304
COR050,166.906017,-22.275626
Codia_PGF21,165.764945,-21.621742
COR029,166.908604,-22.276829
Codia_PGF03,165.765143,-21.622644
Codia_PGF24,165.764757,-21.622646
COR066,166.928311,-22.276288
COR064,166.942123,-22.275688
Codia_PGF26,165.76476,-21.623369
Codia_PGF17,165.765528,-21.622281
COR083,166.938085,-22.28149
Codia_PGF10,165.763788,-21.622109
Codia_PGF05,165.765907,-21.620834
COR060,166.932613,-22.267442
COR020,166.903162,-22.276171
COR037,166.871042,-22.283033
COR061,166.943518,-22.276031
Codia_PGF06,165.765721,-21.62228
Codia_PGF34,165.76514,-21.622102
COR998,166.895637,-22.302115
COR003,166.871062,-22.255592
COR094,166.934465,-22.291986
Codia_PGF22,165.766106,-21.622098
COR041,166.895949,-22.288175
COR001,166.870578,-22.254905
COR092,166.93211,-22.287845
Codia_PGF25,165.765328,-21.621017
COR075,166.941372,-22.279485
COR021,166.903147,-22.275087
COR055,166.897208,-22.255297
COR079,166.945646,-22.280184
COR067,166.927575,-22.276672
COR033,166.907922,-22.282192
COR103,166.871674,-22.30335
COR080,166.949541,-22.282329
COR034,166.90829,-22.282251
COR107,166.92699,-22.261975
COR012,166.897021,-22.2813
COR019,166.903673,-22.275817
COR104,166.881268,-22.306308
COR999,166.89209,-22.251667
COR006,166.901154,-22.2643
Codia_PGF30,165.764174,-21.622107
Codia_PGF28,165.764755,-21.622285
COR086,166.955155,-22.28013
COR063,166.937861,-22.276796
Codia_PGF09,165.764555,-21.621021
Codia_PGF15,165.765526,-21.62192
Codia_PGF12,165.765341,-21.623547
COR100,166.876574,-22.299825
Codia_PGF08,165.765339,-21.623186
COR017,166.898951,-22.280555
Codia_PGF18,165.765335,-21.622463
COR073,166.932047,-22.278092
Codia_PGF04,165.76533,-21.621379
Codia_PGF16,165.764753,-21.621924
Codia_PGF11,165.764943,-21.621381
COR997,166.931837,-22.278266
COR054,166.895397,-22.252991
COR097,166.897567,-22.299239
COR023,166.916403,-22.276366
COR013,166.895493,-22.283124
Codia_PGF29,165.764941,-21.621019
Codia_PGF37,165.765714,-21.621016
COR058,166.920956,-22.265702
Codia_PGF31,165.765151,-21.62409
COR018,166.896594,-22.278415
COR098,166.899976,-22.30008
COR085,166.953177,-22.280524
Codia_PGF33,165.764564,-21.622828
Codia_PGF23,165.763991,-21.624095
COR027,166.883397,-22.276204
COR074,166.942302,-22.279111
COR059,166.920968,-22.267167
COR045,166.898317,-22.291038
COR040,166.896372,-22.288916
COR099,166.898998,-22.300127
COR065,166.945034,-22.275672
COR043,166.900247,-22.290293
COR093,166.933706,-22.291942
COR014,166.898966,-22.281638
Codia_PGF01,165.764747,-21.620839
COR077,166.947223,-22.280532
COR030,166.907818,-22.276116
COR106,166.892338,-22.255639
COR002,166.871277,-22.255754
COR042,166.899758,-22.290477
COR010,166.897293,-22.279661
COR062,166.944263,-22.276398
COR076,166.943703,-22.279833
COR088,166.959773,-22.284286
COR071,166.948543,-22.278
Codia_PGF35,165.765149,-21.623729
Codia_PGF32,165.765912,-21.621918
Codia_PGF36,165.764759,-21.623008
COR068,166.955136,-22.276115
COR035,166.910349,-22.281545
Codia_PGF07,165.764378,-21.624093
COR026,166.894886,-22.275826
COR025,166.885711,-22.276123
COR011,166.893533,-22.281702
COR053,166.896889,-22.253311
COR057,166.929435,-22.263482
COR072,166.932176,-22.278767
COR087,166.954381,-22.280496
COR081,166.939011,-22.278514
COR082,166.936769,-22.280343
COR038,166.871815,-22.283037
COR009,166.893027,-22.267512
COR105,166.880788,-22.306003
Codia_PGF02,165.764951,-21.622826
COR015,166.89851,-22.276586
COR101,166.896683,-22.302488
COR078,166.948567,-22.281793
COR008,166.899537,-22.26646
COR089,166.876625,-22.286411
COR091,166.932712,-22.288838
COR028,166.907722,-22.276923
COR069,166.956099,-22.276151
Codia_PGF13,165.765136,-21.621199
COR007,166.899565,-22.266683
COR044,166.900631,-22.289927
COR004,166.893998,-22.26045
Codia_PGF27,165.764955,-21.623549
Codia_PGF20,165.764953,-21.623187
COR052,166.892376,-22.252214
Codia_PGF14,165.764572,-21.624273
COR056,166.906245,-22.258134
FBA_008_KP,164.9606625,-21.1743657
FBA_017_KP,165.0067674,-21.08228657
FBA_003_KP,164.9614186,-21.17487971
FBA_104_KP,164.9357317,-21.13446023
FBA_048_KP,164.9394964,-21.13504676
FBA_037_KP,165.0653294,-21.14012569
FBA_070_KP,164.9817809,-21.07876244
FBA_065_KP,164.9391752,-21.08805136
FBA_064_KP,164.9376148,-21.08643959
FBA_069_KP,164.9979294,-21.14050052
FBA_105_KP,164.9979166,-21.13914779
FBA_071_KP,164.9796966,-21.07772026
FBA_063_KP,164.9709838,-21.09089396
FBA_103_KP,165.0662465,-21.10257511
FBA_052_KP,164.9689332,-21.08964198
FBA_062_KP,164.9733092,-21.08738829
FBA_101_KP,164.9320707,-21.17136282
FBA_040_KP,164.9140513,-21.02820461
FBA_088_KP,165.0036889,-21.09847801
FBA_044_KP,164.9135962,-21.16500161
FBA_055_KP,164.931239,-21.14752235
FBA_049_KP,164.9393956,-21.13770985
FBA_043_KP,164.9142211,-21.16375181
FBA_042_KP,164.9091979,-21.15216063
FBA_012_TC,165.252421,-21.008015
FBA_006_TC,165.2754339,-21.00283888
FBA_026_KP,164.9091742,-21.02820605
FBA_007_KP,164.9604024,-21.17429457
FBA_015_TC,165.3105976,-21.01881631
FBA_100_KP,164.9324972,-21.17220384
FBA_058_KP,164.9321999,-21.13504676
FBA_054_KP,164.9279791,-21.14316182
FBA_035_KP,165.0674149,-21.14033424
FBA_084_KP,164.9307958,-21.03471543
FBA_016_KP,165.0052923,-21.08164071
FBA_005_KP,164.9527211,-21.17092581
FBA_031_KP,165.007827,-21.080858
FBA_102_KP,164.9332011,-21.1710113
FBA_092_KP,164.9872114,-21.08080886
FBA_061_KP,164.9728922,-21.08822215
FBA_078_KP,164.9245543,-21.03959446
FBA_080_KP,164.9217387,-21.04216262
FBA_073_KP,164.9754432,-21.08198021
FBA_091_KP,165.0057779,-21.09280034
FBA_036_KP,165.067832,-21.13970858
FBA_060_KP,164.9708076,-21.08863908
FBA_041_KP,164.912273,-21.02881181
FBA_097_KP,165.0637939,-21.1133779
FBA_039_KP,164.9108603,-21.02679973
FBA_075_KP,164.974986,-21.07806546
FBA_099_KP,165.0695173,-21.10372042
FBA_021_KP,164.9188224,-21.02722802
FBA_032_KP,165.009329,-21.082222
FBA_014_KP,165.004198,-21.081656
FBA_094_KP,165.0680024,-21.10973089
FBA_009_KP,164.9608254,-21.1746198
FBA_001_KP,164.9459386,-21.17159079
FBA_018_KP,165.0059731,-21.08361638
FBA_015_KP,165.0049772,-21.0818497
FBA_072_KP,164.9774657,-21.08367699
FBA_066_KP,164.9003604,-21.14737555
FBA_045_KP,164.9196804,-21.06901615
FBA_085_KP,164.9298201,-21.03562631
FBA_074_KP,164.9733421,-21.07824355
FBA_067_KP,164.8996105,-21.14508757
FBA_046_KP,164.9192635,-21.06818246
FBA_095_KP,165.0688452,-21.11092437
FBA_050_KP,164.9651046,-21.08772195
FBA_034_KP,164.9659481,-21.17296438
FBA_038_KP,165.0650134,-21.13827841
FBA_089_KP,165.0039141,-21.099329
FBA_096_KP,165.0657501,-21.11078105
FBA_098_KP,165.0683354,-21.10366653
FBA_047_KP,164.9228771,-21.06907352
FBA_014_TC,165.3026653,-21.0249492
FBA_056_KP,164.9303255,-21.15089066
KB41-200,166.9585052,-22.21977911
FBA_028_KP,164.926459,-20.981608
FBA_002_TC,165.265555,-21.01315865
KB46-300,166.9580158,-22.21843108
KB44-300,166.9673672,-22.22834512
KB40-200,166.9672548,-22.2297843
FBA_007_TC,165.2806385,-21.01099864
KB21-20,166.954438,-22.221697
FBA_008_TC,165.2808559,-21.01221035
KB39-100,166.956429,-22.219709
KB29-40,166.953707,-22.222168
KB02-10,166.965737,-22.230958
KB06-10,166.962345,-22.228727
KB45-300,166.9590641,-22.21911825
KB09-10,166.957052,-22.222161
KB30-40,166.956121,-22.221669
KB10-10,166.9557932,-22.22178677
KB05-10,166.959031,-22.229581
KB43-300,166.9680491,-22.22914868
KB08-10,166.953466,-22.222244
KB38-100,166.960466,-22.223499
KB33-100,166.96662,-22.230544
KB22-20,166.955502,-22.219363
KB19-20,166.960789,-22.225944
KB20-20,166.957902,-22.223175
KB13-20,166.966485,-22.23132
KB18-20,166.961526,-22.226463
KB15-20,166.957829,-22.230754
KB32-40,166.955653,-22.220109
KB28-40,166.960792,-22.224973
KB11-10,166.954923,-22.219621
KB25-40,166.958021,-22.230514
KB31-40,166.957417,-22.221535
KB23-40,166.962465,-22.233349
KB03-10,166.964034,-22.230717
KB17-20,166.958616,-22.229891
FBA_020_TC,165.3248546,-21.01136036
KB16-20,166.964856,-22.230361
KB36-100,166.961754,-22.22574
KB14-20,166.963564,-22.231268
KB35-100,166.964485,-22.228074
KB07-10,166.959887,-22.225078
KB37-100,166.961322,-22.224598
FBA_051_KP,164.9669582,-21.08862319
FBA_079_KP,164.9223092,-21.039922
FBA_082_KP,164.9302979,-21.03733103
FBA_090_KP,165.0058185,-21.09361827
FBA_004_TC,165.2653463,-21.01679571
FBA_033_KP,164.9662092,-21.17151558
FBA_001_TC,165.2679222,-21.01335699
FBA_023_KP,164.9196029,-21.02972487
FBA_012_KP,165.0019018,-21.09959774
FBA_011_TC,165.2560827,-21.01034461
FBA_005_TC,165.2764695,-21.00239266
FBA_057_KP,164.9289607,-21.15071977
FBA_019_KP,165.0075792,-21.08282467
FBA_029_KP,164.92438,-20.983092
KB26-40,166.963797,-22.230514
KB01-10,166.962338,-22.232628
KB27-40,166.96525,-22.230402
FBA_018_TC,165.3060184,-21.01273969
FBA_017_TC,165.3107325,-21.01685568
FBA_006_KP,164.9538618,-21.17032925
FBA_013_TC,165.3036008,-21.0228439
FBA_016_TC,165.3120459,-21.01805538
KB34-100,166.964541,-22.229621
FBA_002_KP,164.9472105,-21.17195501
FBA_019_TC,165.3096935,-21.01325076
KB04-10,166.959583,-22.230522
FBA_013_KP,165.002584,-21.099302
KB42-200,166.9569421,-22.21848785
FBA_024_KP,164.9178729,-21.03031402
FBA_025_KP,164.9179842,-21.03087695
FBA_086_KP,164.9291737,-21.03730171
FBA_004_KP,164.963493,-21.17328217
FBA_087_KP,164.9238512,-21.03856753
FBA_077_KP,164.9685828,-21.08073187
FBA_022_KP,164.920115,-21.02869022
FBA_083_KP,164.9304901,-21.04145312
KB24-40,166.967479,-22.23187
FBA_093_KP,165.0667454,-21.10924951
FBA_030_KP,165.0075958,-21.07976855
FBA_020_KP,165.008515,-21.083544
FBA_081_KP,164.9299371,-21.04030491
FBA_053_KP,164.9267236,-21.14174324
FBA_010_KP,164.9569662,-21.1638799
FBA_011_KP,164.981421,-21.138562
FBA_027_KP,164.92463,-20.98198
FBA_059_KP,164.9259828,-21.12543196
FBA_076_KP,164.9770433,-21.07826428
FBA_010_TC,165.3060613,-21.02949007
FBA_003_TC,165.2642732,-21.01841371
