"species","beta_.Intercept.","beta_ultramafic","beta_bio1","beta_bio4","beta_bio12","beta_bio15","beta_cwd","beta_.bio1.2.","beta_.bio4.2.","beta_.bio12.2.","beta_.bio15.2.","beta_.cwd.2.","beta_.log.aire..","lambda_1","lambda_2"
"Melaleuca.quinquenervia",0.756302444332098,-1.40728294800831,1.60067260418447,0.457944615689201,-0.345933779108609,-0.0262577864127696,-0.621051785933825,1.51342538184244,0.295934413261005,-0.447726167820241,0.0676871542425141,1.07062445856473,0.234643741000526,0.0653363227374688,0
"Plerandra..gordonii.",-0.939460159516877,0.330391683850691,0.389633959730922,-0.672576310407085,-0.0742464424125453,0.00964373699847158,0.794149513464052,0.322629925017908,-0.86870961541203,-0.293588649574695,0.00601428127754959,1.52524423394628,0.24159994714208,0.0354538272044828,1.79874063625298
"Codia.spatulata",-0.369994662182566,-1.15448712256364,1.04837973997704,-0.133286097523883,-0.356759581692192,-0.760947654745446,0.628855579896302,1.1460707132108,-0.121350339473987,-0.488215522657296,-0.652653827132136,1.05042222502773,0.253377313011861,1.26366928845089,0.798414642629655
"Codia.discolor",-0.236552579411174,-0.0781108276711263,0.269284429133819,-1.15562845900341,-0.630399999189448,0.0564331722968021,0.466640321430461,0.283690115068817,-1.05624010632905,-0.862314344360682,0.0220930695191257,0.369825527949947,0.239100606449093,0.255149788604701,1.66150883274881
"Syzygium.macranthum",0.6807643150322,-0.391111867408067,0.461630700203825,-0.967599365655216,-0.532138888553207,0.21788530265284,0.649810553549751,0.491954127023025,-0.477194025688595,-0.239943693468367,0.125852993093704,-0.0785771420979895,0.281736455841696,-0.0876942792635924,0.376051233778765
"Codia.mackeeana",-1.25337321034144,-2.06398871771761,1.44767778558309,-0.326636844420689,-1.5858145379687,0.510190871723183,-2.6669486231387,1.2279210661826,-0.445813142749375,-1.57830988137257,0.55324352809442,-2.08302435238628,0.238352336072368,0.849943387742176,0.207856821054809
"Archidendropsis.granulosa",-0.402574353776441,0.836088423175696,0.344480225480973,-1.13893883404362,-1.18372494486279,0.148988652368962,-0.321543684993253,0.378501751659027,-0.964587206896502,-0.945937276198217,0.340934121279217,0.194434424526767,0.264679865512736,-1.2387944485821,1.03456364130075
"Calophyllum.caledonicum",0.671067097341478,-0.449476547075599,1.47319146747849,-0.366550858431419,-1.1882096958819,-0.130034097361666,-0.354677131517071,-0.113951991761418,-0.789162602862474,0.213751644368915,0.628957938805046,-1.09303081045173,0.264916185277318,-0.0937136915581684,0.734064760129083
"Codia.nitida",-1.27505221434703,-1.26759487092906,0.973066207359858,-0.849552631398341,-0.56751294753503,-0.349966069764813,0.592180175252069,0.963215680158626,-0.77688707663039,-0.596494998762103,-0.305173797979015,0.57032291373194,0.247387777079604,0.828731790978606,-0.0798094085125381
"Gymnostoma.deplancheanum",-0.495887875377842,-0.0512468215608473,0.994393344110431,-0.422099375437795,-0.43049559699882,-0.714882883076522,0.807414454187762,0.867864323799794,-0.532677015105422,-0.32507519778969,-0.581647454334411,1.07665546976251,0.25399146481493,1.97519011132892,0.80284465913145
"Denhamia.fournieri",-0.0237366823428734,-0.745997402721371,1.69859090790647,-0.222465467642598,-0.388958905554713,0.639418573343817,-0.22303290039903,1.59513885336705,-0.377301186101948,-0.0837183548110759,0.739458232732904,0.688379345198917,0.239719118053387,0.711607385190896,-0.00371939020264546
